id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
85,propmhomes.com,appfolio,propmhomes.appfolio.com,high,homepage_fetch,1,http://www.propmhomes.com,,2026-02-01T20:50:13.370693,2026-02-25 06:54:01,2026-02-25 06:54:01
86,riseamg.com,cincwebaxis,rise.cincwebaxis.com,high,secondary_page:/my-account/,0,,,2026-02-01T20:51:05.479321,2026-02-25 06:54:01,2026-02-25 06:54:01
87,stetson.management,appfolio,,high,homepage_fetch,0,,,2026-02-01T20:51:34.877691,2026-02-25 06:54:01,2026-02-25 06:54:01
88,ultimateproperties.com,rentvine,ultimateproperties.rentvine.com,high,homepage_fetch,0,,,2026-02-01T20:52:39.395063,2026-02-25 06:54:01,2026-02-25 06:54:01
90,valleyincome.com,appfolio,valleyincomeprop.appfolio.com,high,homepage_fetch,1,http://www.valleyincome.com,,2026-02-01T20:52:42.236733,2026-02-25 06:54:01,2026-02-25 06:54:01
91,rpmfortcollins.com,appfolio,rpmco004.appfolio.com,low,secondary_page:/tenants/,0,,,2026-02-01T20:53:32.636876,2026-02-25 06:54:01,2026-02-25 06:54:01
92,specializedpropertymanagementorlando.com,propertyware,app.propertyware.com,high,secondary_page:/tenants/,0,,,2026-02-01T20:53:51.964981,2026-02-25 06:54:01,2026-02-25 06:54:01
93,rentinstpete.com,rentmanager,residentwebaccess.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T20:53:58.301692,2026-02-25 06:54:01,2026-02-25 06:54:01
94,thetgpm.com,appfolio,thetgpm.appfolio.com,high,subdomain_probe,1,http://www.thetgpm.com,,2026-02-01T20:54:01.550012,2026-02-25 06:54:01,2026-02-25 06:54:01
95,proper-tms.com,appfolio,h2propertymanagement.appfolio.com,high,homepage_fetch,1,http://www.proper-tms.com,,2026-02-01T20:54:59.439318,2026-02-25 06:54:01,2026-02-25 06:54:01
97,upperllc.com,appfolio,,high,homepage_fetch,0,,,2026-02-01T20:55:08.543371,2026-02-25 06:54:01,2026-02-25 06:54:01
98,propertymanagementstl.com,rentvine,avenue.rentvine.com,high,homepage_fetch,0,,,2026-02-01T20:55:10.551607,2026-02-25 06:54:01,2026-02-25 06:54:01
99,touchpointpropertymanagement.com,appfolio,touchpoint.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:55:15.113713,2026-02-25 06:54:01,2026-02-25 06:54:01
100,rpmlv.com,appfolio,rpmnv004.appfolio.com,high,secondary_page:/tenants/,1,http://rpmlv.com,,2026-02-01T20:55:10.576385,2026-02-25 06:54:01,2026-02-25 06:54:01
101,wmdouglas.com,cincwebaxis,wdm.cincwebaxis.com,high,homepage_fetch,0,,,2026-02-01T20:55:22.051962,2026-02-25 06:54:01,2026-02-25 06:54:01
102,rentersplace.com,rentvine,rentersplace.rentvine.com,high,homepage_fetch,0,,,2026-02-01T20:55:27.481101,2026-02-25 06:54:01,2026-02-25 06:54:01
103,propertymanagementportlandor.com,buildium,sleepsoundpm.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T20:55:28.079795,2026-02-25 06:54:01,2026-02-25 06:54:01
